,(((M*p)+(n*p))-(M*p)*(n*p)),((M*p)+(n*p)),((p+(M*p))-p*(M*p)),((p+(n*p))-p*(n*p)),(1+(M*p)),(1+(n*p)),(1+p),(1-(M*p)),(1-(n*p)),(1-p),(M*p),(M-n),(M-x),(n*p),(n+M),(n-M),(n-x),(p+(M*p)),(p+(n*p)),(x+M),(x+n),(x-M),(x-n),M,expected_post,n,p,post-init,x
0,6.6,6.6,4.14,0.44,7.6,1.0,1.44,-5.6,1.0,0.56,6.6,15,1,0.0,15,-15,-14,7.04,0.44,29,14,-1,14,15,20.498,0,0.44,6.498000000000001,14
1,-1.08,4.93,2.43,2.0,3.72,3.21,1.17,-1.72,-1.21,0.83,2.72,3,4,2.21,29,-3,1,2.89,2.38,28,25,-4,-1,16,12.512,13,0.17,0.5120000000000005,12
2,-12.6,10.8,3.72,1.8,8.8,4.0,1.6,-6.8,-2.0,0.4,7.8,8,-4,3.0,18,-8,-12,8.4,3.6,30,22,4,12,13,21.76,5,0.6,4.760000000000002,17
3,-6.65,8.05,3.76,2.17,6.25,3.8,1.35,-4.25,-1.8,0.65,5.25,7,8,2.8,23,-7,1,5.6,3.15,22,15,-8,-1,15,9.464,8,0.35,2.4640000000000004,7
4,0.46,7.03,4.1,1.07,6.92,2.11,1.37,-4.92,-0.11,0.63,5.92,13,14,1.11,19,-13,1,6.29,1.48,18,5,-14,-1,16,6.748,3,0.37,4.748,2
5,1.48,3.42,2.39,0.77,3.7,1.72,1.18,-1.7,0.28,0.82,2.7,11,-1,0.72,19,-11,-12,2.88,0.9,31,20,1,12,15,18.018,4,0.18,2.0180000000000007,16
6,-60.2,18.2,4.06,2.8,12.2,8.0,1.7,-10.2,-6.0,0.3,11.2,6,3,7.0,26,-6,-3,11.9,7.7,29,23,-3,3,16,17.172,10,0.7,4.172000000000001,13
7,-8.36,11.0,5.37,1.67,9.8,3.2,1.44,-7.8,-1.2,0.56,8.8,15,0,2.2,25,-15,-15,9.24,2.64,40,25,0,15,20,26.542,5,0.44,6.542000000000002,20
8,-11.58,13.11,5.23,1.55,11.83,3.28,1.57,-9.83,-1.28,0.43,10.83,15,10,2.28,23,-15,-5,11.4,2.85,28,13,-10,5,19,17.514,4,0.57,8.514,9
9,-121.84,24.18,3.53,3.35,13.48,12.7,1.78,-11.48,-10.7,0.22,12.48,1,0,11.7,31,-1,-1,13.26,12.48,32,31,0,1,16,16.786,15,0.78,0.7860000000000014,16
10,-21.04,11.73,4.01,2.76,8.14,5.59,1.51,-6.14,-3.59,0.49,7.14,5,5,4.59,23,-5,0,7.65,5.1,23,18,-5,0,14,11.66,9,0.51,2.66,9
11,9.44,9.44,4.46,0.59,10.44,1.0,1.59,-8.44,1.0,0.41,9.44,16,10,0.0,16,-16,-6,10.03,0.59,22,6,-10,6,16,15.41,0,0.59,9.41,6
12,1.76,1.76,1.68,0.11,2.76,1.0,1.11,-0.76,1.0,0.89,1.76,16,3,0.0,16,-16,-13,1.87,0.11,29,13,-3,13,16,14.738,0,0.11,1.7379999999999995,13
13,-50.94,16.64,4.1,3.17,10.6,8.04,1.64,-8.6,-6.04,0.36,9.6,4,9,7.04,26,-4,5,10.24,7.68,21,17,-9,-5,15,8.506,11,0.64,2.5060000000000002,6
14,5.18,5.18,2.09,0.74,6.18,1.0,1.74,-4.18,1.0,0.26,5.18,7,0,0.0,7,-7,-7,5.92,0.74,14,7,0,7,7,12.214,0,0.74,5.214,7
15,-5.76,8.47,2.19,1.3,7.16,3.31,1.77,-5.16,-1.31,0.23,6.16,5,-2,2.31,11,-5,-7,6.93,3.08,18,13,2,7,8,13.82,3,0.77,3.8200000000000003,10
16,-3.12,6.25,3.06,2.12,4.75,3.5,1.25,-2.75,-1.5,0.75,3.75,5,-5,2.5,25,-5,-10,4.0,2.75,35,30,5,10,15,21.25,10,0.25,1.25,20
17,1.18,2.94,1.95,0.86,3.1,1.84,1.14,-1.1,0.16,0.86,2.1,9,13,0.84,21,-9,4,2.24,0.98,17,8,-13,-4,15,3.188,6,0.14,1.1880000000000002,2
18,0.86,3.78,2.24,1.06,3.7,2.08,1.27,-1.7,-0.08,0.73,2.7,6,-2,1.08,14,-6,-8,2.97,1.35,22,16,2,8,10,13.594,4,0.27,1.5939999999999994,12
19,7.15,7.15,3.77,0.55,8.15,1.0,1.55,-6.15,1.0,0.45,7.15,13,7,0.0,13,-13,-6,7.7,0.55,19,6,-7,6,13,13.204,0,0.55,7.204000000000001,6
20,-72.69,20.24,2.46,1.72,14.2,8.04,1.88,-12.2,-6.04,0.12,13.2,7,0,7.04,23,-7,-7,14.08,7.92,30,23,0,7,15,21.166,8,0.88,6.166,15
21,-13.92,9.88,3.27,2.52,6.72,5.16,1.52,-4.72,-3.16,0.48,5.72,3,-7,4.16,19,-3,-10,6.24,4.68,29,26,7,10,11,19.534,8,0.52,1.533999999999999,18
22,-34.68,15.6,4.52,2.24,12.05,5.55,1.65,-10.05,-3.55,0.35,11.05,10,16,4.55,24,-10,6,11.7,5.2,18,8,-16,-6,17,7.484,7,0.65,6.484,1
23,7.68,7.68,4.47,0.48,8.68,1.0,1.48,-6.68,1.0,0.52,7.68,16,-2,0.0,16,-16,-18,8.16,0.48,34,18,2,18,16,25.692,0,0.48,7.692,18
24,-27.22,13.12,5.25,3.31,9.2,5.92,1.41,-7.2,-3.92,0.59,8.2,8,11,4.92,32,-8,3,8.61,5.33,29,21,-11,-3,20,12.286,12,0.41,3.2859999999999996,9
25,-2.87,5.94,2.62,2.45,4.08,3.86,1.22,-2.08,-1.86,0.78,3.08,1,6,2.86,27,-1,5,3.3,3.08,22,21,-6,-5,14,8.246,13,0.22,0.24600000000000044,8
26,-4.49,8.58,2.9,1.33,7.6,2.98,1.66,-5.6,-0.98,0.34,6.6,7,9,1.98,13,-7,2,7.26,2.64,11,4,-9,-2,10,5.604,3,0.66,4.604,1
27,-64.54,19.44,3.27,2.04,13.96,7.48,1.81,-11.96,-5.48,0.19,12.96,8,-4,6.48,24,-8,-12,13.77,7.29,36,28,4,12,16,26.442,8,0.81,6.442,20
28,-73.8,19.8,5.4,3.72,13.0,8.8,1.6,-11.0,-6.8,0.4,12.0,7,11,7.8,33,-7,4,12.6,8.4,29,22,-11,-4,20,13.164,13,0.6,4.164,9
29,2.71,6.4,2.71,0.87,6.76,1.64,1.64,-4.76,0.36,0.36,5.76,8,5,0.64,10,-8,-3,6.4,1.28,13,5,-5,3,9,9.182,1,0.64,5.182,4
30,1.0,5.0,3.4,1.0,5.0,2.0,1.2,-3.0,0.0,0.8,4.0,15,6,1.0,25,-15,-9,4.2,1.2,34,19,-6,9,20,16.98,5,0.2,2.9800000000000004,14
31,-14.09,9.8,3.76,3.31,6.25,5.55,1.35,-4.25,-3.55,0.65,5.25,2,5,4.55,28,-2,3,5.6,4.9,25,23,-5,-3,15,10.756,13,0.35,0.7560000000000002,10
32,-17.0,13.0,5.5,2.0,11.0,4.0,1.5,-9.0,-2.0,0.5,10.0,14,12,3.0,26,-14,-2,10.5,3.5,28,14,-12,2,20,15.102,6,0.5,7.102,8
33,-17.16,14.95,4.97,1.56,13.35,3.6,1.65,-11.35,-1.6,0.35,12.35,15,16,2.6,23,-15,1,13.0,3.25,22,7,-16,-1,19,12.804,4,0.65,9.804,3
34,2.04,10.56,2.04,0.99,10.68,1.88,1.88,-8.68,0.12,0.12,9.68,10,7,0.88,12,-10,-3,10.56,1.76,15,5,-7,3,11,12.768,1,0.88,8.768,4
35,-60.2,18.2,4.06,2.8,12.2,8.0,1.7,-10.2,-6.0,0.3,11.2,6,1,7.0,26,-6,-5,11.9,7.7,31,25,-1,5,16,19.232,10,0.7,4.231999999999999,15
36,1.49,1.96,1.58,0.38,2.68,1.28,1.14,-0.68,0.72,0.86,1.68,10,11,0.28,14,-10,1,1.82,0.42,13,3,-11,-1,12,2.386,2,0.14,1.3860000000000001,1
37,-3.56,6.84,1.85,1.31,5.56,3.28,1.76,-3.56,-1.28,0.24,4.56,3,-8,2.28,9,-3,-11,5.32,3.04,20,17,8,11,6,16.276,3,0.76,2.276,14
38,-0.19,4.68,2.29,1.34,4.12,2.56,1.39,-2.12,-0.56,0.61,3.12,4,4,1.56,12,-4,0,3.51,1.95,12,8,-4,0,8,5.578,4,0.39,1.5780000000000003,4
39,-13.1,10.71,3.43,1.8,8.56,4.15,1.63,-6.56,-2.15,0.37,7.56,7,6,3.15,17,-7,-1,8.19,3.78,18,11,-6,1,12,10.382,5,0.63,4.382,6
40,-71.8,19.44,3.95,2.94,12.52,8.92,1.72,-10.52,-6.92,0.28,11.52,5,9,7.92,27,-5,4,12.24,8.64,23,18,-9,-4,16,10.574,11,0.72,3.574,7
41,-14.04,13.0,5.51,1.77,11.4,3.6,1.52,-9.4,-1.6,0.48,10.4,15,8,2.6,25,-15,-7,10.92,3.12,32,17,-8,7,20,19.748,5,0.52,7.748000000000001,12
42,0.52,0.52,0.58,0.13,1.52,1.0,1.13,0.48,1.0,0.87,0.52,4,-14,0.0,4,-4,-18,0.65,0.13,22,18,14,18,4,18.526,0,0.13,0.5259999999999998,18
43,-31.98,13.65,3.38,2.7,8.8,6.85,1.65,-6.8,-4.85,0.35,7.8,3,2,5.85,21,-3,-1,8.45,6.5,22,19,-2,1,12,11.944,9,0.65,1.9440000000000008,10
44,-0.82,4.84,2.45,1.76,3.86,2.98,1.22,-1.86,-0.98,0.78,2.86,4,8,1.98,22,-4,4,3.08,2.2,18,14,-8,-4,13,5.846,9,0.22,0.8460000000000001,5
45,-91.64,21.32,2.89,2.59,12.48,10.84,1.82,-10.48,-8.84,0.18,11.48,2,4,9.84,26,-2,2,12.3,10.66,24,22,-4,-2,14,11.638,12,0.82,1.638,10
46,10.53,10.53,2.81,0.81,11.53,1.0,1.81,-9.53,1.0,0.19,10.53,13,-4,0.0,13,-13,-17,11.34,0.81,30,17,4,17,13,27.56,0,0.81,10.559999999999999,17
47,-7.13,12.74,1.89,1.07,11.92,2.82,1.91,-9.92,-0.82,0.09,10.92,10,-8,1.82,14,-10,-18,11.83,2.73,32,22,8,18,12,29.076,2,0.91,9.076,20
48,0.85,0.9,0.85,0.12,1.84,1.06,1.06,0.16,0.94,0.94,0.84,13,13,0.06,15,-13,0,0.9,0.12,15,2,-13,0,14,1.784,1,0.06,0.784,1
49,0.67,3.44,1.66,1.17,3.15,2.29,1.43,-1.15,-0.29,0.57,2.15,2,0,1.29,8,-2,-2,2.58,1.72,10,8,0,2,5,5.812,3,0.43,0.8120000000000003,5
50,0.6,3.3,1.56,1.35,2.8,2.5,1.3,-0.8,-0.5,0.7,1.8,1,-6,1.5,11,-1,-7,2.1,1.8,18,17,6,7,6,12.306,5,0.3,0.30599999999999916,12
51,-14.34,12.32,4.75,1.79,10.52,3.8,1.56,-8.52,-1.8,0.44,9.52,12,3,2.8,22,-12,-9,10.08,3.36,31,19,-3,9,17,20.804,5,0.56,6.8039999999999985,14
52,-0.6,5.04,2.79,1.52,4.36,2.68,1.24,-2.36,-0.68,0.76,3.36,7,2,1.68,21,-7,-5,3.6,1.92,26,19,-2,5,14,13.6,7,0.24,1.5999999999999996,12
53,1.76,2.2,1.76,0.39,2.98,1.22,1.22,-0.98,0.78,0.78,1.98,8,-7,0.22,10,-8,-15,2.2,0.44,25,17,7,15,9,17.782,1,0.22,1.782,16
54,0.75,0.84,0.74,0.17,1.72,1.12,1.06,0.28,0.88,0.94,0.72,10,-4,0.12,14,-10,-14,0.78,0.18,28,18,4,14,12,16.656,2,0.06,0.6559999999999988,16
55,1.26,2.42,1.68,0.7,2.76,1.66,1.11,-0.76,0.34,0.89,1.76,10,8,0.66,22,-10,-2,1.87,0.77,24,14,-8,2,16,9.09,6,0.11,1.0899999999999999,8
56,-20.81,11.56,2.86,2.2,7.8,5.76,1.68,-5.8,-3.76,0.32,6.8,3,-4,4.76,17,-3,-7,7.48,5.44,24,21,4,7,10,16.032,7,0.68,2.032,14
57,6.48,6.48,4.51,0.36,7.48,1.0,1.36,-5.48,1.0,0.64,6.48,18,-2,0.0,18,-18,-20,6.84,0.36,38,20,2,20,18,26.668,0,0.36,6.667999999999999,20
58,-13.58,10.12,3.94,2.45,7.44,4.68,1.46,-5.44,-2.68,0.54,6.44,6,13,3.68,22,-6,7,6.9,4.14,15,9,-13,-7,14,3.718,8,0.46,2.718,1
59,1.02,3.22,2.07,0.98,3.24,1.98,1.14,-1.24,0.02,0.86,2.24,9,-1,0.98,23,-9,-10,2.38,1.12,33,24,1,10,16,18.246,7,0.14,1.2459999999999987,17
60,-0.83,6.29,3.4,1.3,5.81,2.48,1.37,-3.81,-0.48,0.63,4.81,9,-5,1.48,17,-9,-14,5.18,1.85,31,22,5,14,13,21.342,4,0.37,3.3419999999999987,18
61,-11.19,8.99,3.52,3.3,5.65,5.34,1.31,-3.65,-3.34,0.69,4.65,1,-5,4.34,29,-1,-6,4.96,4.65,35,34,5,6,15,20.29,14,0.31,0.28999999999999915,20
62,-0.5,5.5,2.5,1.25,5.0,2.5,1.5,-3.0,-0.5,0.5,4.0,5,-4,1.5,11,-5,-9,4.5,2.0,20,15,4,9,8,14.448,3,0.5,2.4480000000000004,12
63,-26.96,13.02,3.68,2.5,9.06,5.96,1.62,-7.06,-3.96,0.38,8.06,5,10,4.96,21,-5,5,8.68,5.58,16,11,-10,-5,13,6.032,8,0.62,3.032,3
64,0.84,3.19,1.73,1.11,3.03,2.16,1.29,-1.03,-0.16,0.71,2.03,3,-7,1.16,11,-3,-10,2.32,1.45,21,18,7,10,7,14.92,4,0.29,0.9199999999999999,14
65,-57.14,17.28,5.22,4.72,10.12,9.16,1.48,-8.12,-7.16,0.52,9.12,2,17,8.16,36,-2,15,9.6,8.64,21,19,-17,-15,19,2.988,17,0.48,0.988,2
66,-3.61,7.8,3.96,1.58,6.85,2.95,1.39,-4.85,-0.95,0.61,5.85,10,5,1.95,20,-10,-5,6.24,2.34,25,15,-5,5,15,13.886,5,0.39,3.8859999999999992,10
