,(1+p),(1-p),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x+y),(x-n),(x-n*p),(x-y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
0,1.74,0.26,26.1,13.1,11.1,-3.9,9.1,11.1,17,15,3.9,13,15,2,-13,-9.1,2,-15,-11.1,-2,91.602,15,11.1,0.74,89.602,2,0
1,1.81,0.19,25.34,12.34,12.34,-2.66,10.34,10.34,15,15,2.66,13,13,2,-13,-10.34,0,-13,-10.34,0,87.856,14,11.34,0.81,86.856,1,1
2,1.08,0.92,21.6,6.6,7.6,-18.4,-3.4,-4.4,25,26,18.4,15,14,11,-15,3.4,-1,-14,4.4,1,132.254,20,1.6,0.08,127.25399999999999,5,6
3,1.93,0.07,27.02,24.02,33.02,-0.98,2.02,-6.98,25,34,0.98,3,-6,31,-3,-2.02,-9,6,6.98,9,127.834,14,13.02,0.93,116.834,11,20
4,1.8,0.2,10.8,23.8,11.8,-1.2,-14.2,-2.2,25,13,1.2,-13,-1,26,13,14.2,12,1,2.2,-12,44.088,6,4.8,0.8,25.088,19,7
5,1.37,0.63,20.55,10.55,14.55,-9.45,0.55,-3.45,20,24,9.45,10,6,14,-10,-0.55,-4,-6,3.45,4,134.524,15,5.55,0.37,129.524,5,9
6,1.07,0.93,4.28,2.28,2.28,-3.72,-1.72,-1.72,6,6,3.72,2,2,4,-2,1.72,0,-2,1.72,0,10.078,4,0.28,0.07,8.078,2,2
7,1.36,0.64,5.44,20.44,6.44,-2.56,-17.56,-3.56,23,9,2.56,-15,-1,24,15,17.56,14,1,3.56,-14,35.52,4,1.44,0.36,16.520000000000003,19,5
8,1.3,0.7,16.9,16.9,13.9,-9.1,-9.1,-6.1,26,23,9.1,0,3,23,0,9.1,3,-3,6.1,-3,131.394,13,3.9,0.3,118.394,13,10
9,1.62,0.38,24.3,21.3,29.3,-5.7,-2.7,-10.7,27,35,5.7,3,-5,32,-3,2.7,-8,5,10.7,8,201.588,15,9.3,0.62,189.588,12,20
10,1.59,0.41,30.21,19.21,20.21,-7.79,3.21,2.21,27,28,7.79,11,10,17,-11,-3.21,-1,-10,-2.21,1,190.242,19,11.21,0.59,182.242,8,9
11,1.46,0.54,29.2,17.2,22.2,-10.8,1.2,-3.8,28,33,10.8,12,7,21,-12,-1.2,-5,-7,3.8,5,244.546,20,9.2,0.46,236.546,8,13
12,1.88,0.12,31.96,27.96,14.96,-2.04,1.96,14.96,30,17,2.04,4,17,13,-4,-1.96,13,-17,-14.96,-13,147.654,17,14.96,0.88,134.654,13,0
13,1.68,0.32,10.08,5.08,13.08,-1.92,3.08,-4.92,7,15,1.92,5,-3,10,-5,-3.08,-8,3,4.92,8,32.202,6,4.08,0.68,31.201999999999998,1,9
14,1.18,0.82,7.08,2.08,11.08,-4.92,0.08,-8.92,7,16,4.92,5,-4,11,-5,-0.08,-9,4,8.92,9,53.682,6,1.08,0.18,52.682,1,10
