,(1+p1),(1-p1),(x-z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
0,1.29,0.71,9,31,-9,13.094,0,0.29,2.0939999999999994,20,11
1,1.15,0.85,2,12,-2,10.296,0,0.15,5.295999999999999,7,5
2,1.66,0.34,-14,24,14,19.554,0,0.66,0.5539999999999985,5,19
3,1.22,0.78,9,19,-9,8.594,0,0.22,3.5939999999999994,14,5
4,1.8,0.2,-6,16,6,11.224,0,0.8,0.2240000000000002,5,11
5,1.84,0.16,-16,16,16,16.214,0,0.84,0.21399999999999864,0,16
6,1.3,0.7,8,26,-8,11.424,0,0.3,2.4239999999999995,17,9
7,1.85,0.15,-5,33,5,19.176,0,0.85,0.17599999999999838,14,19
8,1.12,0.88,-14,24,14,26.254,0,0.12,7.254000000000001,5,19
9,1.34,0.66,-3,3,3,4.948,0,0.34,1.9480000000000004,0,3
10,1.93,0.07,2,38,-2,18.064,0,0.93,0.06400000000000006,20,18
11,1.89,0.11,1,27,-1,13.092,0,0.89,0.09200000000000053,14,13
12,1.08,0.92,-7,21,7,26.036,0,0.08,12.036000000000001,7,14
13,1.89,0.11,-9,9,9,9.124,0,0.89,0.12400000000000055,0,9
14,1.39,0.61,3,5,-3,2.48,0,0.39,1.48,4,1
15,1.24,0.76,0,6,0,6.246,0,0.24,3.2460000000000004,3,3
16,1.41,0.59,6,26,-6,11.584,0,0.41,1.5839999999999996,16,10
17,1.7,0.3,2,14,-2,6.392,0,0.7,0.39200000000000035,8,6
18,1.56,0.44,11,23,-11,6.82,0,0.56,0.8200000000000003,17,6
19,1.85,0.15,2,34,-2,16.206,0,0.85,0.20599999999999952,18,16
20,1.59,0.41,-11,17,11,14.708,0,0.59,0.7080000000000002,3,14
21,1.34,0.66,1,35,-1,18.892,0,0.34,1.8919999999999995,18,17
22,1.71,0.29,-15,15,15,15.452,0,0.71,0.45199999999999996,0,15
23,1.93,0.07,3,11,-3,4.074,0,0.93,0.07399999999999984,7,4
24,1.37,0.63,-9,29,9,20.628,0,0.37,1.6280000000000001,10,19
25,1.73,0.27,1,19,-1,9.362,0,0.73,0.3620000000000001,10,9
26,1.75,0.25,10,28,-10,9.334,0,0.75,0.33399999999999963,19,9
27,1.47,0.53,-4,18,4,12.102,0,0.47,1.1020000000000003,7,11
28,1.87,0.13,12,22,-12,5.148,0,0.87,0.1479999999999997,17,5
29,1.63,0.37,-10,20,10,15.616,0,0.63,0.6159999999999997,5,15
30,1.86,0.14,-5,27,5,16.188,0,0.86,0.18799999999999883,11,16
31,1.62,0.38,-3,25,3,14.65,0,0.62,0.6500000000000004,11,14
32,1.08,0.92,7,9,-7,12.414,0,0.08,11.414,8,1
33,1.78,0.22,-8,20,8,14.298,0,0.78,0.29800000000000004,6,14
34,1.09,0.91,8,24,-8,18.248,0,0.09,10.248000000000001,16,8
35,1.31,0.69,-19,21,19,22.286,0,0.31,2.2860000000000014,1,20
36,1.71,0.29,5,13,-5,4.456,0,0.71,0.4560000000000004,9,4
37,1.66,0.34,-2,36,2,19.504,0,0.66,0.5040000000000013,17,19
38,1.08,0.92,5,21,-5,19.75,0,0.08,11.75,13,8
39,1.69,0.31,3,17,-3,7.492,0,0.69,0.492,10,7
40,1.17,0.83,4,14,-4,9.68,0,0.17,4.68,9,5
41,1.42,0.58,-5,17,5,12.342,0,0.42,1.3420000000000005,6,11
42,1.46,0.54,7,27,-7,11.356,0,0.46,1.3559999999999999,17,10
43,1.18,0.82,9,13,-9,6.754,0,0.18,4.754,11,2
44,1.59,0.41,-6,12,6,9.72,0,0.59,0.7200000000000006,3,9
45,1.28,0.72,16,18,-16,3.318,0,0.28,2.318,17,1
46,1.52,0.48,5,5,-5,0.906,0,0.52,0.906,5,0
47,1.88,0.12,2,6,-2,2.14,0,0.88,0.14000000000000012,4,2
48,1.11,0.89,-10,28,10,27.208,0,0.11,8.207999999999998,9,19
49,1.53,0.47,-15,23,15,19.88,0,0.53,0.879999999999999,4,19
50,1.42,0.58,-6,22,6,15.374,0,0.42,1.3740000000000006,8,14
51,1.87,0.13,5,7,-5,1.144,0,0.87,0.1439999999999999,6,1
52,1.34,0.66,14,18,-14,4.032,0,0.34,2.032,16,2
53,1.09,0.91,-11,27,11,29.162,0,0.09,10.161999999999999,8,19
54,1.89,0.11,-12,16,12,14.106,0,0.89,0.10599999999999987,2,14
55,1.76,0.24,-6,6,6,6.296,0,0.76,0.29600000000000026,0,6
56,1.68,0.32,11,23,-11,6.458,0,0.68,0.4580000000000002,17,6
57,1.82,0.18,-2,4,2,3.244,0,0.82,0.24400000000000022,1,3
58,1.83,0.17,13,27,-13,7.194,0,0.83,0.19399999999999995,20,7
59,1.8,0.2,18,20,-18,1.274,0,0.8,0.274,19,1
60,1.69,0.31,5,7,-5,1.458,0,0.69,0.45799999999999996,6,1
61,1.29,0.71,-2,30,2,18.436,0,0.29,2.436,14,16
62,1.13,0.87,8,24,-8,14.932,0,0.13,6.932,16,8
63,1.19,0.81,0,18,0,13.612,0,0.19,4.612,9,9
64,1.6,0.4,-15,15,15,15.618,0,0.6,0.6180000000000003,0,15
65,1.08,0.92,9,19,-9,17.798,0,0.08,12.797999999999998,14,5
66,1.55,0.45,11,11,-11,0.806,0,0.55,0.806,11,0
67,1.62,0.38,-8,20,8,14.598,0,0.62,0.5980000000000008,6,14
68,1.29,0.71,8,30,-8,13.42,0,0.29,2.42,19,11
69,1.55,0.45,6,24,-6,9.78,0,0.55,0.7799999999999994,15,9
70,1.63,0.37,17,19,-17,1.528,0,0.63,0.528,18,1
71,1.31,0.69,4,6,-4,3.206,0,0.31,2.206,5,1
72,1.79,0.21,0,30,0,15.23,0,0.79,0.23000000000000043,15,15
73,1.22,0.78,13,17,-13,5.344,0,0.22,3.3440000000000003,15,2
74,1.77,0.23,-9,23,9,16.278,0,0.77,0.2779999999999987,7,16
75,1.94,0.06,-8,14,8,11.058,0,0.94,0.05799999999999983,3,11
